objective,nll,closed_loop_loss,tracking_rank,seed,restart,near_optimal,S_theta,S_v,xi_i,S_d,gamma,w_x,w_y,w_c,w_ell,beta,sigma_long,sigma_lat
2.0449271707804075,7.599293609672092,1.1128787621941505,10.8435,9,2,False,4.572483843543158,6.376516846862685,4.790073653837609,6.294456455336262,0.23110787727049925,8.28647913901043,9.702353554596227,56.51174122649049,29.756526911889146,3.1775901124115253,2.116515019122332,1.446404544145348
2.0637367074921804,9.893840461466722,0.7343844073772543,21.418,7,0,False,9.177400041219343,5.864992903249561,2.8909417907286814,7.316738286956235,5.550548211340916,6.273966979662134,2.0698271209342307,10.026668581871391,249.56869249356927,1.4952188216139601,0.5145768152439197,0.8635025029081931
2.0863222892327595,8.935630058128666,1.0181561088167186,11.0,7,0,False,3.3126906708015214,0.09262595530572057,1.2374231347814053,6.623183163802084,0.8512823025863024,2.10456399453803,3.3993919705824207,24.69756339191638,278.0834427790151,0.7140078723767447,2.4584388331041103,0.7507458134084481
2.090894806180386,6.8415372694766265,1.0414474284390725,23.0135,9,2,False,5.181086969509241,4.534736062998972,1.92218714303382,4.480756948371109,7.222170831535632,8.658227134572241,4.016479341044466,7.790763946505549,71.0540938397173,7.361076642128767,2.72171621039694,1.984461484869932
2.132926951939619,11.748372940894727,0.8182880705485591,8.8075,7,0,False,6.743970941289593,0.988870469408925,1.6336598460374467,11.88925258879016,0.3881421925629869,3.0786320403106635,9.593054246747009,129.1266904746214,64.08795019657659,0.16090931587041227,0.8887584671876059,1.3383149967970498
2.139609883830644,12.227131984362604,0.7418411298388279,11.0285,9,2,False,3.3841406475254803,1.4311690893491764,1.4693114380291363,5.028688325823753,0.48360706093955796,9.045400064960853,8.7087888787936,54.37554907808985,158.91315625294413,7.05885788050046,2.483611985801347,0.6503093553049817
2.1472865969255266,10.21761209102255,0.8156444354423192,19.5225,7,0,False,2.933850070834453,1.9822023353185767,3.4740861316990257,7.328789522481784,1.961851221982127,5.43678081093483,4.602544908315544,54.761712566108585,70.01085141462484,8.466767700899709,3.042731527036413,0.37344581068947735
2.152256593659949,5.418658177027003,1.2891209346874075,20.24,7,0,False,5.111740700657028,1.7435608796442832,3.323352430953491,8.776259086584435,6.0738185668490585,0.554206102097484,0.4636231612927524,13.018519904174985,25.31561873170246,4.076801492063156,3.391540127254557,1.2645924194509321
2.2033093335944436,8.33791287159182,0.9840497924670076,24.2845,7,0,False,8.464660231936984,9.683757573174274,2.380333847645569,9.308498769899058,2.565917010105893,9.485542580985332,2.1959324407390115,54.6334009778835,137.65324493953918,0.06900231326939645,0.6726202553972601,2.456844164084449
2.2408871535992665,10.006652331479392,0.9466743014037081,18.4935,8,1,False,8.963871859512025,1.9897766514830795,4.78679080690543,1.8743182799033327,2.458747940757414,5.28917321779227,9.939692032464425,8.110263303532381,179.70787864672099,3.566580807040077,1.8999925305795944,2.3556418805981996
2.2449547014057454,10.71065215202468,0.802897422711214,23.3725,9,2,False,1.9146096878951113,1.4490297922492643,2.672517504667386,6.100701457620719,8.230511157266488,5.034341034319241,8.990837144767093,28.055802812314145,261.3491432609615,1.1329257273073283,3.183859961677186,0.9163685413342355
2.2773799455574126,8.843209571159973,1.0572812106636373,21.154,7,0,False,6.128174219972895,2.033677553863189,2.068418582064073,7.494067844908564,4.996393100565169,2.764100554306187,5.636077317884864,31.507576273495314,82.22668288124237,6.341141390902862,1.8846971011984688,2.233186002515125
2.2978849535423054,9.846524427547697,1.052351558406583,16.4355,7,0,False,9.190435711574256,0.20786911235318078,2.35030331486623,6.894980509949466,1.8884673842765727,8.557215551777656,4.856295639864004,50.26395808266377,84.42696015458982,3.711959286552459,3.1533993695770395,0.9186830955356113
2.33247606925821,14.544852081364017,0.6792845119154591,12.5185,7,0,False,2.189824907399031,2.51172543658687,2.386423904801415,5.516237092751698,0.9071614569954768,7.552048150033356,5.8326402868496166,62.04648241507874,228.9779673253042,3.003941790176107,1.0898554473109432,0.5930546131692922
2.34923808691252,12.169483762212913,0.7850039964055142,21.879,8,1,False,6.210359227970847,3.110591013603343,4.308721612057569,6.353043835226958,7.0336814516277295,9.086897582614075,2.2341264375378276,101.26598010611923,64.37414760141895,0.43291062359852744,2.5453264778663653,0.7322384501887813
2.3518943062550224,10.763512068911627,0.9588923057130662,19.949,8,1,False,6.356358544864379,3.176935810388473,4.77337691553216,4.750153403959254,2.0411176140160268,3.1381263170385805,5.83136322025881,41.384591202293194,114.04474504108637,7.960735828622392,2.511428772531973,0.5099427124949838
2.3666653244168283,8.064240732724208,1.317074584477741,15.3195,8,1,False,0.47074635287737404,7.0452914133478615,2.0661053754165515,7.25289976639036,1.134183874181096,0.7911264607646128,5.747742342443173,45.070084814062106,39.21827692825082,7.931692385479797,2.429480577460735,1.4610197600347412
2.369653897147791,12.506748750062059,0.7767885459511089,21.558,8,1,False,9.991577822602533,5.832328709693316,3.4469766017318313,4.121701916325187,4.53719957879995,6.859147643580844,7.922124247116467,44.95654395614082,163.6851503122932,4.86270978312762,1.4409749105506906,0.34834021693060047
2.3822956916753184,9.45755981970243,1.0580555827209484,23.8445,8,1,False,7.281372217872503,5.973176515953943,1.6250712102485243,5.282349063796103,6.47936851790927,8.133309092352237,2.5457283637204413,71.12760241440117,8.327903645323177,7.106252028220122,3.777182740135377,0.9379659234265867
2.3824881939371876,10.737781046087106,0.9836465972649848,20.479,8,1,False,8.320168845913356,6.6950855802920675,3.7058530765517537,6.890419840358977,5.750424873053047,3.398251716983727,3.022972173886069,2.1942229712037706,185.64181342445355,6.956742159611305,4.711871745763635,0.6977701172271589
2.3887406104497106,12.257839599304276,0.8392741108367433,20.392,8,1,False,2.9784077037021426,0.34414326626271674,3.3791650300784832,4.124741959760058,8.099670962442781,9.827755343242156,2.337132821158987,33.07241674591601,174.58268907060008,5.279744533680564,2.1496815333779065,1.375351973499186
2.388918721071665,9.452085923358883,1.1459006049262526,18.762,7,0,False,5.266677908636403,0.7138316338977166,3.888014037039677,5.998404702009777,8.16457874250093,0.5599335007099822,8.66354238046513,6.597419368277159,143.1284869633771,8.929688927639358,1.047095427289755,1.464723769613725
2.394492414436886,13.75194601736436,0.760678765081402,16.293,9,2,False,6.979628949815183,2.9409763841041237,1.1468293510292182,9.436979276996814,1.5491534879122963,9.692663438162677,2.6734701498340705,31.780310253802682,257.33512083323126,3.143489441416437,1.781351967263663,1.3944231829645888
2.4021497998886616,11.399835563799893,0.9154837038261325,21.841,8,1,False,9.033002769143392,3.2645692008240372,3.5669718139324917,7.0058022338154045,3.6789199144050877,3.3572532157831736,4.308598802333124,89.96895355490042,237.45832687456615,0.04700077209286185,1.219553351152121,0.9266181326853313
2.4105218275739033,9.426566005834246,1.0243969730222247,27.9385,8,1,False,0.906991963393847,2.788141836223643,1.3859427553791062,5.297587240830561,7.71268887520301,9.560908112394012,5.118295384558553,59.40158508862193,33.88712042725032,8.90506027656594,0.7928220285432912,1.8656000684027132
2.4130126916761587,10.518374529174231,1.030540318123815,20.83,9,2,False,6.934381759331191,2.331462770212715,4.667245861434004,2.0553778474340496,4.216921540574512,3.2365699375161854,3.3656195534209257,73.90167967795466,36.38030048124081,8.168676114709513,1.2753243645293888,0.8128403511691518
