site,n_rows,n_ids,n_ego,n_scene_only,frac_points_inside_curb,median_inside_edge_clearance_m,p95_outside_distance_m,n_boundary_rings,ego_chord_m_p50,ego_path_m_p50,dt_s_p50
jounieh,155457,498,370,128,0.9998375,0.9211398916110366,7.066840054640934,3,49.4576069118968,56.19629579046272,0.10000000000002274
tgsim,2492261,20511,2017,18494,0.988275,4.800285881616528,0.44629553384290116,2,152.83022703585723,169.61598284594766,0.09999999999990905
