n_points,n_vertices,origin_x,origin_y,tangent_x,tangent_y,normal_x,normal_y,s_min,s_max,lateral_width_median,run_id,lane_kf
613,12,26.956277206790826,19.88471539075556,-0.6264706107431515,0.7794450422416598,-0.7794450422416598,-0.6264706107431515,-9.657118937618314,12.342881062381686,8.102624988555089,1,1
5364,18,32.40404676148352,20.558818318931976,-0.9915973405697618,-0.1293627232821565,0.1293627232821565,-0.9915973405697618,-23.065518281465135,10.934481718534865,8.298117598833652,1,2
695,13,34.9915332489873,23.886892701571888,0.9860246343756869,-0.166599581044771,0.166599581044771,0.9860246343756869,-14.063009271082505,15.936990728917493,1.7526059137372503,1,3
6670,15,28.36021326666664,15.708259441768513,-0.20172139078592405,-0.9794429439734571,0.9794429439734571,-0.20172139078592405,-12.649905768921972,15.350094231078028,3.588328380417641,1,4
1494,16,34.95762154073723,25.150215287071692,0.9973568874520891,0.07265837220775721,-0.07265837220775721,0.9973568874520891,-12.47867752960918,17.52132247039082,2.2879290017801095,1,5
3294,17,34.893967841637675,18.945735577789964,0.8680188782481246,0.49653119439252513,-0.49653119439252513,0.8680188782481246,-9.783880323871646,22.216119676128354,6.7137648184966565,1,6
13270,25,32.5095843819654,12.453994026928145,-0.8100765498807025,-0.5863241282203707,0.5863241282203707,-0.8100765498807025,-28.391705086854017,19.608294913145983,2.629770077432543,1,8
3797,18,31.11247365893304,18.575518640884717,-0.9982893171248356,0.058467420966120634,-0.058467420966120634,-0.9982893171248356,-22.097118959889254,11.902881040110746,3.6377702814896473,1,9
1720,20,30.97246738283804,14.779311928787388,-0.8538288030093583,0.5205539118589031,-0.5205539118589031,-0.8538288030093583,-20.88159071584667,17.11840928415333,3.015072108011775,1,10
1284,16,34.30834495663502,17.227125966114,-0.9991240838568504,-0.0418457292589054,0.0418457292589054,-0.9991240838568504,-18.903898411312074,11.096101588687926,14.897874536217444,1,11
1075,16,38.81990544314058,17.72585974339505,0.9668537087428096,0.2553309732294037,-0.2553309732294037,0.9668537087428096,-12.941446860400731,17.05855313959927,14.181407791085729,1,12
22163,21,29.337102257231628,7.4500117684887615,-0.9740810622578242,-0.2261992134174408,0.2261992134174408,-0.9740810622578242,-24.781671818450793,15.218328181549207,1.9634790019745718,1,13
2331,12,10.720033678930177,24.152363767608353,0.893713095931452,0.44863894409716526,-0.44863894409716526,0.893713095931452,-10.203706815511126,11.796293184488874,2.400944666684678,1,14
38735,27,24.329646192986186,23.685204280050353,0.9953232835999345,0.096600005817,-0.096600005817,0.9953232835999345,-23.38027708333111,28.61972291666889,2.4056000826634083,1,15
4280,28,29.824064571588963,23.141672496947688,0.9999428739319213,0.01068872643348645,-0.01068872643348645,0.9999428739319213,-28.64376618467282,25.35623381532718,1.8069171383285756,1,16
8705,20,24.352387669702846,15.513274753533233,0.9303968819649634,-0.3665537368925246,0.3665537368925246,0.9303968819649634,-22.94698657932428,15.053013420675718,12.622574483204726,1,17
