run_id,lane_kf,point_index,s,center_l,lower_l,upper_l,n_points,center_x,center_y,lower_x,lower_y,upper_x,upper_y
1,1,0,-9.657118937618314,3.560900595892338,-6.523950950815612,5.436682313939512,101,30.23065209027617,10.126722341386596,38.091239630100816,16.44458544910674,28.768583329816757,8.951600222860744
1,1,1,-7.657118937618314,1.7765107883225086,-6.642021184233506,5.505310733243556,49,30.36854465772672,12.80348019842204,36.930327666688406,18.077443064829957,27.462150027147032,10.467496619588323
1,1,2,-5.657118937618314,3.560900595892338,-6.523950950815612,5.436682313939512,40,27.724769647303564,13.244502510353236,35.58535718712821,19.56236561807338,26.26270088684415,12.069380391827384
1,1,3,-3.657118937618314,3.560900595892338,-6.523950950815612,5.436682313939512,38,26.47182842581726,14.803392594836556,34.33241596564191,21.1212557025567,25.009759665357848,13.628270476310703
1,1,4,-1.6571189376183142,3.0164877573855366,-6.1620027484845705,5.048150011488084,38,25.643227092237794,16.703341322755644,32.79735601230039,22.453395875668306,24.059658020768047,15.430564629604213
1,1,5,0.3428810623816858,2.35567839583446,-5.068526966261578,4.2867430513135645,47,24.905350451479354,18.676209051554657,30.692110513549057,23.327255519029542,23.400191679518066,17.46645379745215
1,1,6,2.342881062381686,2.35567839583446,-3.3758540829506005,3.474125876584435,65,23.65240922999305,20.235099136037974,28.119823805029117,23.82573578851666,22.78064088611481,19.534424659688398
1,1,7,4.342881062381686,1.651221203631833,-1.7368827930079398,2.682900821345058,81,22.948553674440564,22.23531094796288,25.58939453722059,24.35785852799911,22.14441611123222,21.588993987762816
1,1,8,6.342881062381686,0.5914709752296794,-1.7368827930079398,1.8469486265228152,48,22.521629514496787,24.458103405268492,24.336453315734285,25.91674861248243,21.54305368355115,23.671583554288503
1,1,9,8.342881062381686,-0.29718215436044826,-1.7368827930079398,1.0212396421293088,45,21.961344569142046,26.57370855858495,23.083512094247983,27.47563869696575,20.93370723628476,25.74775605052093
1,1,10,10.342881062381686,-0.6720696254996957,-1.944986513466391,0.5925985984561177,29,21.00060752843374,28.36745462607283,21.992776285945066,29.164899646302597,20.014868151190818,27.575177151423777
1,1,11,12.342881062381686,-1.0469570966389432,-2.441462636448009,0.16395755478292656,28,20.039870487725437,30.16120069356071,21.126810917108145,31.034817430769603,19.096029066096875,29.40259825232662
1,2,0,-23.065518281465135,-5.964918341599194,-8.14057874800929,-4.421443247964685,65,54.50411526742261,29.45743374198223,54.22266591231224,31.614812814961404,54.703783408853354,27.926927943898583
1,2,1,-21.065518281465135,-5.45347843723542,-7.995720482402124,-3.6519407694578914,72,52.58708184510675,28.691565846389544,52.25821049090159,31.21244629746148,52.82013366390584,26.905165886085094
1,2,2,-19.065518281465135,-4.942038532871645,-7.850862216794958,-2.8824382909510975,136,50.67004842279089,27.92569795079686,50.29375506949094,30.81007977996155,50.936483918958324,25.883403828271604
1,2,3,-17.065518281465135,-3.645965162133311,-6.603553448452863,-1.5440329845743315,162,48.854517322463565,26.381789596625126,48.471915647397864,29.314526275839874,49.12642899310699,24.297519239299632
1,2,4,-15.065518281465135,-2.1422713164435314,-5.210209454547703,-0.3039303984263684,178,47.06584457218509,24.63200533164371,46.66896773977875,27.674164630420353,47.30365735966081,22.809111366277318
1,2,5,-13.065518281465135,-0.8425460814166046,-4.017483796138439,0.9729340287571757,206,45.250785886967186,23.08447579855529,44.84006729793954,26.232735592948096,45.48564133808386,21.28425054944967
1,2,6,-11.065518281465135,0.08425238461741046,-2.9303690891449765,2.283523654664198,193,43.38748437932755,21.906739457827513,42.99750473581678,24.896030094034792,43.67198810005701,19.725947915257635
1,2,7,-9.065518281465135,1.1464968680292813,-2.2967617815257775,3.69154189730888,188,41.54170453735363,20.594695206477088,41.09627522148235,24.009021326269714,41.87093849321696,18.071035323813145
1,2,8,-7.065518281465135,3.297407117364494,-2.2967617815257775,5.163601976196395,201,39.83675746360362,18.20313287686773,39.11308054034283,23.750295879705398,40.07817351271727,16.352619017865056
1,2,9,-5.065518281465135,4.931574305387079,-2.2967617815257775,6.839109658419355,220,38.06496310020504,16.32397159261386,37.129885859203306,23.491570433141085,38.31172706823028,14.432464609504251
1,2,10,-3.0655182814651347,6.781241382015428,-2.643274245757661,8.32397119538008,377,36.32104638926351,14.231121191925428,35.101865382039534,23.57644582458338,36.52061811920893,12.701354411775354
1,2,11,-1.0655182814651347,7.918699362803629,-2.9010094008599467,9.460268602909704,296,34.484996370137765,12.844495436601683,33.08532937935043,23.57328987238983,34.68441796516589,11.315879477808352
1,2,12,0.9344817185348653,8.56796993346482,-3.0985793767127796,10.0289888991286,273,32.58579309816594,11.941955018859522,31.076576508095794,23.51047428845762,32.774794490331075,10.493212497985335
1,2,13,2.9344817185348653,8.56796993346482,-3.3972327321852904,10.0289888991286,252,30.60259841702641,11.68322957229521,29.054747215574995,23.547892714932082,30.791599809191556,10.234487051421022
1,2,14,4.934481718534865,8.56796993346482,-4.0610584539827,10.0289888991286,275,28.619403735886888,11.424504125730897,26.985678231279014,23.947415088703885,28.808405128052033,9.975761604856709
1,2,15,6.934481718534865,6.10087259894982,-5.275283198397236,9.027877283387596,441,26.317058624952352,13.612145834998405,24.845408130525442,24.892711669555027,26.69570392199085,10.709735774074671
1,2,16,8.934481718534865,1.5471670254312633,-8.8834684371425,7.367677555447878,1478,23.744784189797333,17.868862724872795,22.395448780795356,28.211853110013585,24.49774128285275,12.097259962550027
1,2,17,10.934481718534865,-3.0065385480872937,-12.491653675887763,5.70747782750816,324,21.172509754642316,22.125579614747185,19.94548943106527,31.530994550472148,22.299778643714653,13.48478415102538
1,3,0,-14.063009271082505,-0.6018715574992133,-2.1623294575979743,1.2195830241041927,111,21.024788124924147,25.636323971938676,20.76481649252969,24.097674041535143,21.328241695111355,27.432323059796094
1,3,1,-12.063009271082505,-1.2635404993484718,-2.562449251109326,0.112788106689797,63,22.886603625173098,24.650702933384473,22.670205971314353,23.369946906342093,23.11589939431901,26.007796843934155
