run_id,id,n_rows,duration_s,speed_p85,path_m,too_short,stationary,keep
1,1,94,9.300000000000068,4.402105893563307,33.82817544454063,True,False,False
1,2,2533,253.2,0.1699087249154618,53.9753588986666,False,True,False
1,3,160,15.900000000000006,6.563909784955671,53.850997892632506,False,False,True
1,4,730,72.89999999999999,1.395995015575178,52.52880133359443,False,False,True
1,5,14,1.2999999999999972,1.9351481198583678,2.514590678870479,True,True,False
1,6,586,58.5,3.566328706044717,47.04038051843748,False,False,True
1,7,124,12.400000000000006,4.129439738829042,45.694137933681986,False,False,True
1,8,124,12.300000000000011,5.646644290148476,51.31506840223885,False,False,True
1,9,114,11.300000000000011,7.007189290977445,56.08475632189923,False,False,True
1,10,893,89.20000000000002,1.4757246301724005,55.35727620312346,False,False,True
1,11,90,8.899999999999977,1.7349123261913164,11.525568395703703,True,False,False
1,12,74,7.300000000000011,8.341384686650319,50.79465126871914,True,False,False
1,13,719,71.80000000000001,0.4104796798390811,43.517867377415726,False,True,False
1,14,44,4.300000000000011,2.9397613026140887,10.366323982721102,True,False,False
1,15,15129,1512.8,0.0227791219935704,46.818295599482525,False,True,False
1,16,52,5.099999999999966,0.8895483244048639,2.7082253096996642,True,True,False
1,17,525,52.39999999999998,3.0859161484062128,53.91372222785746,False,False,True
1,18,28,2.6999999999999886,2.8223429072686868,6.805925647624837,True,True,False
1,19,108,10.800000000000011,2.327332313104401,13.743536617469022,False,False,True
1,20,57,5.599999999999966,3.0755517892604605,13.714129394231785,True,False,False
1,21,42,4.100000000000023,5.102698305130004,16.38125707633027,True,False,False
1,22,33,3.1999999999999886,4.3105130924439665,11.878421022498447,True,False,False
1,23,273,27.200000000000045,3.1518196388170234,48.70057345421648,False,False,True
1,24,25,2.3999999999999773,3.795858049251163,8.622097260293033,True,False,False
1,25,88,8.700000000000045,7.55034928819277,53.05557787594298,True,False,False
1,26,15,1.400000000000091,2.6784833186652777,3.7490285204507785,True,True,False
1,27,503,50.200000000000045,3.5653967055582743,55.877006114159926,False,False,True
1,28,44,4.2999999999999545,1.74845290508132,5.363626123165937,True,True,False
1,29,4362,436.1,0.0300905773215318,68.96777423721085,False,True,False
1,30,59,5.7999999999999545,10.870466112938939,50.424636887144835,True,False,False
1,31,838,83.70000000000005,1.3959292181645768,50.48655832732444,False,False,True
1,32,35,3.3999999999999773,10.055677707123479,28.577729816092514,True,False,False
1,33,23,2.199999999999932,2.4228817843958836,5.095649734552249,True,True,False
1,34,40,3.8999999999999773,3.378229503857227,10.669787308111454,True,False,False
1,35,219,21.800000000000068,5.182987263451114,43.27768412369102,False,False,True
1,36,69,6.800000000000068,7.457140836727886,42.80522023997073,True,False,False
1,37,619,61.799999999999955,1.411152088338654,41.030541734611546,False,False,True
1,38,67,6.599999999999909,2.127978956664498,10.844223912741326,True,False,False
1,39,89,8.799999999999955,1.6259868338677392,12.448564337702752,True,False,False
1,40,59,5.7999999999999545,2.8894010806766466,12.075903564033604,True,False,False
1,41,94,9.299999999999955,5.41839938339135,43.33709794480136,True,False,False
1,42,102,10.199999999999932,5.435150551748188,43.16416495867576,False,False,True
1,43,750,74.89999999999986,2.2182621169594494,55.656068751606284,False,False,True
1,44,87,8.599999999999909,2.0749543239261685,8.702575143486504,True,False,False
1,45,55,5.400000000000091,1.6212581995540518,7.401267975737952,True,True,False
1,46,54,5.2999999999999545,3.72457808819691,15.176031115202733,True,False,False
1,47,113,11.200000000000045,5.8667620699788525,54.11750812497813,False,False,True
1,48,492,49.100000000000136,2.579886739161472,47.19544983319285,False,False,True
1,49,51,5.0,3.1775595008027127,12.04637397421731,True,False,False
1,50,26,2.5,3.629368584335989,8.447078295615105,True,False,False
1,51,629,62.799999999999955,2.6849104228294984,54.544675117449806,False,False,True
1,52,23,2.2000000000000455,4.368385626651125,9.419432786181194,True,False,False
1,53,123,12.200000000000045,6.793463167631213,43.358023252923054,False,False,True
1,54,452,45.200000000000045,2.824314483689119,47.3371085297209,False,False,True
1,55,82,8.100000000000136,2.0479415291476615,11.184785520372229,True,False,False
1,56,43,4.2000000000000455,1.4404489531218647,4.778814286511797,True,True,False
1,57,39,3.7999999999999545,15.227122307311223,45.65270415210231,True,False,False
1,58,39,3.800000000000182,15.11716717981379,45.550312501404406,True,False,False
1,59,649,64.80000000000018,1.9127461571398392,53.408647236910184,False,False,True
1,60,24,2.2999999999999545,1.995450004613929,4.413151736885934,True,True,False
1,61,56,5.5,0.9480722883543558,2.99335063552618,True,True,False
1,62,147,14.599999999999909,2.3380564733550924,13.333308583929057,False,False,True
1,63,33,3.2000000000000455,3.6557660080661307,9.971477504033933,True,False,False
1,64,159,15.799999999999955,5.741656846403467,49.893829418566945,False,False,True
1,65,136,13.5,4.977420898644237,54.97500309267079,False,False,True
1,66,143,14.200000000000045,5.414729716420356,55.882744601498274,False,False,True
1,67,672,67.10000000000014,1.9792784092192717,52.31696024403536,False,False,True
1,68,576,57.5,2.6738573500065543,52.870366286739326,False,False,True
1,69,556,55.5,1.8506363632228666,52.35857927730032,False,False,True
1,70,29,2.7999999999999545,5.169363442866463,13.1249144819268,True,False,False
1,71,78,7.699999999999818,8.770529551471165,51.77650029621854,True,False,False
1,72,89,8.799999999999955,5.647378279104012,44.67004381038379,True,False,False
1,73,578,57.700000000000045,1.4894180336697689,38.23137435947695,False,False,True
1,74,452,45.09999999999991,3.3630975118408273,53.75487429107956,False,False,True
1,75,35,3.3999999999998636,3.236415483170769,9.099286558864772,True,False,False
1,76,58,5.7000000000000455,3.1913964700370103,13.615285550550032,True,False,False
1,77,55,5.399999999999864,11.79813641558388,51.06509756653289,True,False,False
1,78,78,7.7000000000000455,8.289162825765107,51.02129534081541,True,False,False
1,79,59,5.7999999999999545,10.679192379791884,51.08760427715917,True,False,False
1,80,56,5.5,11.386609997719836,50.32308004672272,True,False,False
1,81,875,87.40000000000009,0.663278540661393,52.8529622752726,False,True,False
1,82,803,80.20000000000005,1.4312256272523993,45.66126670853602,False,False,True
1,83,775,77.40000000000009,2.0133545257439107,49.66457274618108,False,False,True
1,84,19,1.800000000000182,2.017500286785915,3.617444617020019,True,True,False
1,85,116,11.5,2.2710761280629272,14.807421079426936,False,False,True
1,86,92,9.100000000000136,1.7723519024650447,11.808212077209891,True,False,False
1,87,203,20.200000000000045,3.900206191071154,50.94830225618023,False,False,True
1,88,103,10.199999999999818,7.223918771168415,52.78210684304581,False,False,True
1,89,77,7.599999999999909,1.1423071069727988,3.620583532917699,True,True,False
1,90,70,6.899999999999864,9.233407462863259,52.004762722883754,True,False,False
