run_id,id,class,keep_ego,n_rows,t0,t_end,duration_s,x0,y0,speed0,heading0,dest_x,dest_y,chord_m,path_m,lane_kf,desired_speed
1,412,3.0,True,1630,60.2,223.1,162.89999999999998,46.20801241379522,56.27358963944689,0.0026391182145539,-1.3183383715714705,196.754994416279,41.072026348231326,151.31252861727282,162.1253596378114,9,7.675283276650844
1,3246,3.0,False,194,60.2,79.5,19.3,20.06210733102652,201.8870615912326,0.010556472858217,0.0982230445349249,35.9604866955222,223.2728208793496,26.647873587712493,31.352174643423155,33,5.052715733259947
1,421,3.0,True,537,60.2,113.8,53.6,43.09249437860195,114.25992108943608,2.3202855084089493,-1.5466764916352105,44.0968500578718,6.843689302464378,107.4209271121922,107.63419991341542,6,8.389303649905612
1,4948,0.0,False,40,60.2,64.10000000000001,3.9000000000000057,169.87961583847763,36.6136351305732,0.8823223854899295,1.3702437135032155,170.42303533644005,41.84610055068605,5.260608246528389,5.267949523183537,37,1.7651132374305722
1,411,3.0,True,643,60.2,124.4,64.2,37.98244763660151,9.1920378472306,0.0236049909135374,1.4915403114601065,38.220007053121485,219.391626264438,210.1997226573807,211.20083604417945,14,17.616351051159437
1,18057,0.0,False,23,60.2,62.400000000000006,2.200000000000003,193.6234275909673,195.2628301629453,0.9959271285774658,-1.6215693494185937,193.45958064068884,191.5516407549856,3.7148045231031706,3.7151781300819335,44,2.282039414599178
1,4597,3.0,False,2021,60.2,262.2,202.0,140.11974715765243,203.92451148091456,0.001866138385651,-3.005403891941062,113.90087606399662,204.9958615282368,26.24075060568271,39.63190261699947,34,1.6103035336864655
1,8308,0.0,False,14,60.2,61.5,1.2999999999999972,37.08744766674306,30.92881776572788,0.8238446185553433,2.8284378760191204,36.06872272190208,31.25837780467076,1.0707055302506363,1.0707058918573586,1,1.0
1,3807,3.0,False,33289,60.2,3389.0,3328.8,189.31694003791824,179.28551314472776,0.001866138385367,1.5740536442650337,33.92919506251359,226.7766823126404,162.48311431492408,242.3950026615757,27,9.20756973110816
1,2,3.0,False,2533,60.2,313.40000000000003,253.20000000000005,179.4081184366788,85.07314350690851,0.0301483882823827,-1.0153025915292713,196.70087640308907,43.67603585186037,44.86379386864749,53.9753588986666,23,3.965212326930524
1,8311,0.0,False,66,60.2,66.7,6.5,47.11719503538621,26.84552036362761,1.117818450840478,2.961452989833107,36.12601317034798,29.12220919437681,11.224499580043798,11.236794889749788,39,2.13969094609447
1,363,3.0,True,357,60.2,95.8,35.599999999999994,184.13952570018827,59.72818501935093,0.0,-1.5778137554630938,157.07006873025742,34.2262842935425,37.19008525502364,54.24041839268577,25,5.145569413610857
1,14370,0.0,True,251,60.2,85.2,25.0,23.42563515770058,204.4619593360422,0.0041728122863567,-1.359222108781335,24.78605004099252,191.71754045748847,12.816822586223129,13.105962452636511,49,2.475968261986714
1,3247,3.0,True,204,60.2,80.5,20.3,12.143708932145364,200.74274553302325,0.018661383858607,0.0975158032870833,37.84230064382342,187.09959440783936,29.09558709818612,31.38354486184842,33,5.693559474499249
1,409,3.0,True,573,60.2,117.4,57.2,38.37321701460059,16.38712100775242,0.0166912491448567,1.5644672973786802,38.02107670118881,135.81941786127666,119.43281598668209,120.05300217248713,14,15.231753139067818
1,17975,0.0,False,52,60.2,65.3,5.099999999999994,133.55075342558666,199.11416656368323,1.0223781827095024,2.253364369634449,124.55745931645014,204.9878371331776,10.741477779727248,10.883315991899092,34,3.103054683228361
1,420,3.0,True,504,60.2,110.5,50.3,42.46061992114976,103.25306366195662,0.0,-1.5542415479080525,43.010944131139865,7.507661340153366,95.74698388200054,95.7561657516504,6,8.85964275980894
1,408,3.0,False,1340,60.2,194.1,133.89999999999998,31.305031264317257,38.23027081424373,0.003732276771799,1.434463200612408,34.22441815515664,53.42362309656149,15.471288679131264,15.985924704564878,1,4.4047867538238314
1,14371,0.0,False,12,60.2,61.3,1.0999999999999943,56.818502048118006,193.6129772160065,1.239774763417869,-1.8073036076829256,56.28721244966366,192.04280837814392,1.657618417133602,1.6590160127727474,48,1.623556504128091
1,485,3.0,False,3686,60.2,428.7000000000001,368.5000000000001,179.7712689665671,64.72924927961714,0.0079173546439643,-1.4753426124626337,38.620853578404216,183.108297628162,184.2200826515884,304.59997770952646,23,11.53178252316772
1,422,3.0,True,575,60.2,117.6,57.39999999999999,42.72729109648915,142.19638595343744,3.609135278501863,-1.574303326445306,43.340130942405565,6.286460380446582,135.91130726298184,136.2684354372093,6,9.307480222105573
1,1544,3.0,False,33537,60.2,3413.8,3353.6000000000004,121.44250112277264,32.02330792903477,0.012518436858674,2.7836851682580552,30.75302752977987,124.732876324721,129.6905728751653,194.2738122074274,29,6.514622901637869
1,3245,3.0,False,129,60.2,73.0,12.799999999999995,63.73067862934345,196.79194395631907,0.0253822262202692,3.1306441859612546,3.845178144064529,196.33828571471648,59.88721878808963,59.91752720354197,32,9.32638504440385
1,8304,0.0,False,77,60.2,67.8,7.599999999999994,42.65693767934223,49.135796927370976,0.7687153842294151,0.512013567583166,52.24627638892242,52.94999717423023,10.320055252283984,10.338999501568471,40,1.4802543028315536
1,8305,0.0,False,158,60.2,79.2,19.0,35.7005336183719,49.34536426810305,1.3196250835800487,-0.0709191152902013,59.96611766354807,30.63826001904948,30.639424251093008,38.243588481851575,40,2.8114708219304303
1,414,3.0,True,431,60.2,103.2,43.0,95.80661166085947,36.39678985013627,2.982173220747906,3.1367907697292594,38.40102247654991,165.45126944883182,141.24609861545855,174.85977171649412,29,9.563595096037592
1,8312,0.0,False,37,60.400000000000006,64.0,3.5999999999999943,44.00932816757496,28.0014064798293,1.218624087847146,-3.129811166323105,38.14405522081699,28.156855807371443,5.867332548390641,5.868848475787726,39,2.126464314192374
1,8306,0.0,False,18,60.8,62.5,1.7000000000000028,32.1535643883678,28.559755084878613,0.8611475490456724,3.00215259649842,30.70805359468064,28.760364961358565,1.459364854040066,1.4593969980081625,39,1.0
1,8313,2.0,False,31,61.0,65.4,4.400000000000006,52.80686436003476,52.40452492404334,2.882142445737153,-1.101304086321349,67.64863617045651,42.903454560114334,17.622387140593634,18.251862800036488,40,5.096376729371816
1,14372,0.0,False,85,61.3,69.7,8.400000000000006,28.818961706674564,210.7096040380629,1.825951328185607,-0.2154774673477373,47.40178113922986,210.53978544494967,18.58359535766752,18.662617809375256,47,2.4800694776028656
1,8314,0.0,False,32,61.3,64.4,3.1000000000000085,33.448104586638884,28.83967584275761,0.8635463383789886,2.84623648328187,29.920356582009138,30.12357905222929,3.754119528659261,3.756630745133208,39,1.4828099556475598
1,8315,0.0,False,17,61.5,63.1,1.6000000000000014,31.46365302711536,29.93118018464713,1.0415877771989148,3.120090591603581,29.79719144854237,29.968316338525742,1.666875306309645,1.6668759707683685,39,1.043411691305622
1,14374,0.0,False,21,61.5,63.5,2.0,31.151634688999565,186.9601938704156,0.9775786907655456,0.0832914271411936,33.35125200441275,187.15203289648204,2.2079670618439105,2.208038972091528,46,1.1328628199899813
1,18058,0.0,False,25,61.8,64.2,2.4000000000000057,194.9879479787081,194.73471299974696,0.8671360962518303,-1.7681918866438808,194.4665489136989,191.44004567951123,3.3356693085528986,3.336418234423407,44,1.7594700158489271
1,407,6.0,False,140,61.8,77.60000000000001,15.800000000000011,52.21212605646118,7.722827096043024,0.0753189727895661,-1.6220334941982932,51.95310604850381,5.575461655433922,2.1629308125884554,2.530444567300363,11,1.0
