run_id,id,class,keep_ego,n_rows,t0,t_end,duration_s,x0,y0,speed0,desired_speed,max_speed,heading0,dest_x,dest_y,chord_m,path_m,lane_kf
1,2,2.0,True,216,0.0,21.5,21.5,138.74881090990164,70.09634919922215,7.464477310904311,8.57408465464865,9.119423260077715,-2.515145645867442,61.801954566849155,93.90679151596602,80.54660678388223,132.47172843359914,9
1,18,2.0,False,2506,0.0,250.5,250.5,22.920101815839672,73.51181542163152,1.2632374533587227,4.623572155192823,5.3406416015643785,-1.2760562942534799,59.91291772982882,93.85703436594247,42.21843629432807,98.80316262355865,14
1,31,2.0,True,230,0.0,22.900000000000002,22.900000000000002,147.0475636039339,78.35603610312879,5.55110453117106,8.55731289894155,10.353301434697519,-2.4289926595575846,62.19474446949239,93.81894051762578,86.25023088661335,143.86272992345567,2
1,40,2.0,True,2153,0.0,215.20000000000002,215.20000000000002,0.6363062650184557,67.24928081725172,5.0547912969123905,7.737442962276873,9.206669269305728,-1.5632462694545157,159.1625151732851,93.81527222112122,160.73677491507,206.19477991510945,15
1,32,2.0,True,205,0.0,20.400000000000002,20.400000000000002,25.115477989446827,69.11823085688806,6.72408512130632,10.61538326634473,14.82761652230515,0.2741674511196054,157.35257140733768,93.79683667971364,134.52019350629257,142.0533011998743,15
1,21,2.0,False,96,0.0,9.600000000000001,9.600000000000001,8.04257809596948,64.63190423179825,7.529286598606827,9.397764931869034,10.826327688214619,0.05199773884576031,59.54470854906235,93.8628660167959,59.21924153586729,63.30744324407948,14
1,1039,2.0,True,619,5.300000000000001,68.3,63.0,165.19917259147323,37.48857939344018,8.550272709880195,8.553071257342943,11.405944639175019,-3.00396324873343,44.792262243912106,11.128106652711374,123.25866534471452,127.44347467640635,13
1,1300,1.0,True,268,8.200000000000001,36.4,28.199999999999996,111.95950281170263,30.112575711596108,23.906798987669525,5.21236472836963,23.906798987669525,-0.035921270987666315,57.33679119082419,14.83186335682612,56.71984480661834,62.32033143951921,13
1,1503,2.0,True,258,10.700000000000001,36.4,25.699999999999996,0.220659635345703,62.077829275769794,1.0672746884734547,5.809741927792827,10.306707241286004,0.23219432006561413,58.900593306413654,93.84452453427303,66.72673784389244,73.92419884056875,14
1,1575,2.0,True,282,12.0,40.1,28.1,165.926895731662,37.05910652575123,3.8538571147600607,8.975507138347519,13.765881029989725,-2.8832843699848247,63.07597170956474,93.93312800369112,117.52857904047166,151.3452617278159,10
1,1618,2.0,True,222,12.5,34.6,22.1,165.24465528773504,93.66289682785444,8.486692942174676,12.802754900778632,14.509196388306197,-2.6464848321103043,62.26029306116383,93.7370152290237,102.98438889827439,168.57819272292267,2
1,1880,2.0,True,786,17.0,95.7,78.7,165.2944855946689,36.7064797668888,3.5799379739810178,7.82111643026517,21.349341389181937,-2.897344050563216,43.06559194391459,10.062137312037061,125.09925430608618,134.4467971243011,13
1,2097,2.0,True,833,19.1,102.30000000000001,83.20000000000002,166.64458592414596,36.66443544541333,5.139645111437859,7.148131003094482,11.49437655578403,2.8620931173298683,41.37520747144946,9.08302194552481,128.26983881090962,134.53711496617723,13
1,2298,2.0,True,267,21.3,47.900000000000006,26.600000000000005,165.7839262268685,93.74707952969008,4.246687797248246,9.105200030388612,11.30258609669048,-2.482983735495579,60.825748755171304,93.89973709961107,104.95828848887513,170.27337015247667,2
1,2611,2.0,True,843,23.200000000000003,107.5,84.3,166.24159585800277,35.92597914137786,3.9548901035325095,7.092429922576205,13.034658767771312,-2.505416427355633,42.48685807714222,9.651099985755693,126.51325779479438,131.45339604762765,13
1,2889,2.0,True,277,25.200000000000003,52.800000000000004,27.6,0.3541062006094086,60.345076501226245,1.152814335106545,11.074245108664092,19.577663821533687,0.9073693231063984,158.9270753338123,93.84245523880895,162.07239407748864,169.99040049537786,15
1,2900,2.0,True,313,25.200000000000003,56.400000000000006,31.200000000000003,166.13691877028265,35.50290227785072,4.414719948009066,15.048726398145453,19.63929874099398,-2.3927768231193505,158.98376148834444,93.83417805695247,58.768234558456555,207.8125482383902,11
1,3112,1.0,True,325,29.200000000000003,62.300000000000004,33.1,0.362858275323903,60.60082260881413,2.8935847006346926,9.757476126306905,20.86124303142494,0.585404237325538,157.04589763916067,93.03552406668813,160.004952057588,167.9978645035447,15
1,3512,2.0,True,346,35.1,69.60000000000001,34.50000000000001,0.3284853964872294,60.94695930463002,1.4636383612801256,8.769182334292665,12.263574917727919,0.2986096117543023,159.82753239031882,93.75516859377709,162.83833881706414,170.3232536741519,15
1,3813,2.0,True,336,38.2,72.3,34.099999999999994,0.3761134713999057,61.286605937399365,2.131055005021104,8.151302209689637,13.539561596579947,0.7636948532479806,160.24874897812566,93.73278257921075,163.13189131049148,170.96345804738377,15
1,3974,2.0,True,256,40.5,66.0,25.5,35.68184408056085,70.51810923836302,4.411792004403231,9.611342004000388,13.542433912355044,0.3575094645953738,159.07623182302376,93.6812383103773,125.54961359854546,133.01194412357552,15
1,4003,2.0,True,354,41.2,76.5,35.3,0.3083793692867934,61.58129242326653,3.376486715368494,7.645433108798991,10.037376564323573,0.8887771512683303,159.38223672802042,93.80219803614338,162.30427860503445,170.80091466537556,15
1,3999,2.0,True,469,41.2,88.0,46.8,166.54960735254045,35.70400017340897,3.6138356349876264,9.12601502191092,11.371896288957421,-3.0060581891950506,160.61779423786757,93.88064314601037,58.4782711303005,226.70971161958693,11
1,4534,1.0,False,150,47.6,62.5,14.899999999999999,0.4011306265018455,62.00540393452572,2.6737458811187933,7.18511624223731,9.546174892009567,-0.28231810272929114,58.900593306413654,93.9301181193797,66.6436381781713,70.46021190946799,14
1,4574,2.0,True,344,48.1,82.4,34.300000000000004,65.4052877350311,84.60737770022544,4.170383518364805,7.26624932832752,14.168993715745124,-1.5946463401311763,63.00072460177867,93.87932632162409,9.578671886000325,157.17716887650354,1
1,4597,2.0,True,638,48.400000000000006,112.9,64.5,166.75645329105458,35.816964893972795,3.6501680829190226,7.465536760841186,13.488793048815804,-2.9432519399612733,43.25454579235514,10.032320645576835,126.1648486498266,132.99264498081482,13
