run_id,lane_kf,point_index,s,center_l,lower_l,upper_l,n_points,center_x,center_y,lower_x,lower_y,upper_x,upper_y
1,1,0,-276.8144883710397,-9.318873439253672,-19.890064735991793,-2.1176395981343865,539,474.39152153072877,448.3210381136942,467.7399040161711,456.53724586862967,478.9226904216743,442.7240498774899
1,1,1,-268.8144883710397,-9.098704700198015,-19.599889117203197,-2.003769511107886,683,468.312246074002,443.1161477022737,461.70467837126785,451.27794427004824,472.7765296011542,437.60177757264086
1,1,2,-260.8144883710397,-8.76003421436777,-19.29031846616699,-1.7692307851682882,707,462.3075344268049,437.81915461826947,455.6816564915385,446.0035683425774,466.706296044603,432.38571842967815
1,1,3,-252.81448837103972,-8.421363728537528,-18.980747815130783,-1.5346920592286906,741,456.3028227796079,432.5221615342653,449.65863461180913,440.7291924151066,460.6360624880518,427.1696592867155
1,1,4,-244.81448837103972,-7.832283238278537,-18.14900180714824,-0.8630495226170898,790,450.45567441213234,427.0305432124286,443.9641765289534,435.04896807407965,454.840863909218,421.61387157219025
1,1,5,-236.81448837103972,-7.035864271344559,-17.45473762281467,0.005635341323252052,800,444.73898780664575,421.3777759763272,438.1832119701059,429.47559822030206,449.16964853708055,415.90493738132153
1,1,6,-228.81448837103972,-6.366859940037934,-16.54905167391724,0.5361981454164821,804,438.9421292131437,415.824038744314,432.53527846449117,423.73790581357736,443.2856796017726,410.4588005433951
1,1,7,-220.81448837103972,-5.519702678902007,-15.859561422916515,1.4237868167029246,803,433.2573682172595,410.13183637222915,426.7513100456549,418.1682463862758,437.62635890569436,404.7351738165429
1,1,8,-212.81448837103972,-4.738405121711646,-15.080800614218349,2.4547778325873812,823,427.5311669004151,404.4908218932687,421.0235125529182,412.5292035349256,432.0572700028153,398.9000910179304
1,1,9,-204.81448837103972,-3.999268213377204,-14.231152996362203,2.6295850961083778,909,421.77843721013744,398.8825757788529,415.3403185422406,406.83506559213515,425.94945214469953,393.73045673768763
