polygon_id,vertex_index,x,y,kind,area_m2,buffer_m,m_per_px
2,56,108.8208,64.7961,island,149.4,1.5,0.13063734
2,57,108.29849999999999,64.7961,island,149.4,1.5,0.13063734
2,58,107.64510000000001,64.5348,island,149.4,1.5,0.13063734
2,59,106.0776,64.2735,island,149.4,1.5,0.13063734
2,60,105.68549999999999,63.8817,island,149.4,1.5,0.13063734
2,61,105.68549999999999,63.620400000000004,island,149.4,1.5,0.13063734
0,0,0.0,56.0433,outer,7994.789999999999,1.5,0.13063734
0,1,-65.0094,44.6511,outer,7994.789999999999,1.5,0.13063734
0,2,-65.0094,57.061800000000005,outer,7994.789999999999,1.5,0.13063734
0,3,0.0,68.45400000000001,outer,7994.789999999999,1.5,0.13063734
0,4,6.7485,69.3588,outer,7994.789999999999,1.5,0.13063734
0,5,36.0558,73.2876,outer,7994.789999999999,1.5,0.13063734
0,6,51.34049999999999,83.7384,outer,7994.789999999999,1.5,0.13063734
0,7,56.3046,93.9282,outer,7994.789999999999,1.5,0.13063734
0,8,71.3658,158.1867,outer,7994.789999999999,1.5,0.13063734
0,9,81.5556,158.1867,outer,7994.789999999999,1.5,0.13063734
0,10,66.4944,93.9282,outer,7994.789999999999,1.5,0.13063734
0,11,67.14750000000001,85.4367,outer,7994.789999999999,1.5,0.13063734
0,12,72.5037,75.5085,outer,7994.789999999999,1.5,0.13063734
0,13,100.9827,75.3777,outer,7994.789999999999,1.5,0.13063734
0,14,122.27669999999999,71.5893,outer,7994.789999999999,1.5,0.13063734
0,15,128.547,73.81020000000001,outer,7994.789999999999,1.5,0.13063734
0,16,146.05259999999998,89.4867,outer,7994.789999999999,1.5,0.13063734
0,17,153.6294,93.9282,outer,7994.789999999999,1.5,0.13063734
0,18,204.34320000000002,136.167,outer,7994.789999999999,1.5,0.13063734
0,19,217.7991,133.4238,outer,7994.789999999999,1.5,0.13063734
0,20,167.0853,91.185,outer,7994.789999999999,1.5,0.13063734
0,21,149.7105,76.16159999999999,outer,7994.789999999999,1.5,0.13063734
0,22,148.6653,72.3732,outer,7994.789999999999,1.5,0.13063734
0,23,153.3681,69.7602,outer,7994.789999999999,1.5,0.13063734
0,24,167.0853,69.36840000000001,outer,7994.789999999999,1.5,0.13063734
0,25,232.93349999999998,64.8927,outer,7994.789999999999,1.5,0.13063734
0,26,232.93349999999998,61.104299999999995,outer,7994.789999999999,1.5,0.13063734
0,27,167.0853,65.58,outer,7994.789999999999,1.5,0.13063734
0,28,136.90800000000002,64.7961,outer,7994.789999999999,1.5,0.13063734
0,29,102.68099999999998,31.353,outer,7994.789999999999,1.5,0.13063734
0,30,124.88940000000001,32.2674,outer,7994.789999999999,1.5,0.13063734
0,31,164.7336,38.7993,outer,7994.789999999999,1.5,0.13063734
0,32,167.0853,38.1462,outer,7994.789999999999,1.5,0.13063734
0,33,232.4355,47.385,outer,7994.789999999999,1.5,0.13063734
0,34,232.4355,42.8127,outer,7994.789999999999,1.5,0.13063734
0,35,167.0853,33.5739,outer,7994.789999999999,1.5,0.13063734
0,36,101.50529999999999,24.168,outer,7994.789999999999,1.5,0.13063734
0,37,101.49449999999999,24.165,outer,7994.789999999999,1.5,0.13063734
0,38,101.47319999999999,24.1593,outer,7994.789999999999,1.5,0.13063734
0,39,101.44109999999999,24.1503,outer,7994.789999999999,1.5,0.13063734
0,40,101.3982,24.138600000000004,outer,7994.789999999999,1.5,0.13063734
0,41,101.34450000000001,24.1239,outer,7994.789999999999,1.5,0.13063734
0,42,101.28030000000001,24.106500000000004,outer,7994.789999999999,1.5,0.13063734
0,43,101.20530000000001,24.085800000000003,outer,7994.789999999999,1.5,0.13063734
0,44,101.11949999999999,24.062399999999997,outer,7994.789999999999,1.5,0.13063734
0,45,101.0232,24.036,outer,7994.789999999999,1.5,0.13063734
0,46,100.91579999999999,24.0066,outer,7994.789999999999,1.5,0.13063734
0,47,100.7979,23.9742,outer,7994.789999999999,1.5,0.13063734
0,48,100.6695,23.9391,outer,7994.789999999999,1.5,0.13063734
0,49,100.53,23.901,outer,7994.789999999999,1.5,0.13063734
0,50,100.38,23.8599,outer,7994.789999999999,1.5,0.13063734
0,51,100.2192,23.8158,outer,7994.789999999999,1.5,0.13063734
0,52,100.0479,23.769,outer,7994.789999999999,1.5,0.13063734
0,53,99.86580000000001,23.718899999999998,outer,7994.789999999999,1.5,0.13063734
0,54,99.6729,23.6661,outer,7994.789999999999,1.5,0.13063734
0,55,99.4692,23.610599999999998,outer,7994.789999999999,1.5,0.13063734
0,56,99.25469999999999,23.5518,outer,7994.789999999999,1.5,0.13063734
0,57,99.0297,23.490299999999998,outer,7994.789999999999,1.5,0.13063734
0,58,98.79390000000001,23.4255,outer,7994.789999999999,1.5,0.13063734
0,59,98.54760000000002,23.357999999999997,outer,7994.789999999999,1.5,0.13063734
0,60,98.2902,23.2878,outer,7994.789999999999,1.5,0.13063734
0,61,98.0223,23.2143,outer,7994.789999999999,1.5,0.13063734
0,62,97.7439,23.1381,outer,7994.789999999999,1.5,0.13063734
0,63,97.45439999999999,23.0589,outer,7994.789999999999,1.5,0.13063734
0,64,97.1544,22.9767,outer,7994.789999999999,1.5,0.13063734
0,65,96.8436,22.8915,outer,7994.789999999999,1.5,0.13063734
0,66,96.52199999999999,22.803600000000003,outer,7994.789999999999,1.5,0.13063734
0,67,96.1899,22.712699999999998,outer,7994.789999999999,1.5,0.13063734
0,68,95.84700000000001,22.6188,outer,7994.789999999999,1.5,0.13063734
0,69,95.4708,22.511699999999998,outer,7994.789999999999,1.5,0.13063734
0,70,95.0613,22.3914,outer,7994.789999999999,1.5,0.13063734
0,71,94.6185,22.258200000000002,outer,7994.789999999999,1.5,0.13063734
0,72,94.14240000000001,22.1115,outer,7994.789999999999,1.5,0.13063734
0,73,93.633,21.951900000000002,outer,7994.789999999999,1.5,0.13063734
0,74,93.0903,21.779400000000003,outer,7994.789999999999,1.5,0.13063734
0,75,92.5143,21.5934,outer,7994.789999999999,1.5,0.13063734
0,76,91.905,21.3945,outer,7994.789999999999,1.5,0.13063734
0,77,91.2624,21.1821,outer,7994.789999999999,1.5,0.13063734
0,78,90.5865,20.9568,outer,7994.789999999999,1.5,0.13063734
0,79,89.87729999999999,20.718600000000002,outer,7994.789999999999,1.5,0.13063734
0,80,89.1348,20.466900000000003,outer,7994.789999999999,1.5,0.13063734
0,81,88.359,20.2023,outer,7994.789999999999,1.5,0.13063734
0,82,87.5499,19.9242,outer,7994.789999999999,1.5,0.13063734
0,83,86.7075,19.633200000000002,outer,7994.789999999999,1.5,0.13063734
0,84,85.8318,19.3293,outer,7994.789999999999,1.5,0.13063734
0,85,84.9228,19.0119,outer,7994.789999999999,1.5,0.13063734
0,86,83.9805,18.6816,outer,7994.789999999999,1.5,0.13063734
0,87,83.00489999999999,18.337799999999998,outer,7994.789999999999,1.5,0.13063734
0,88,81.99600000000001,17.981099999999998,outer,7994.789999999999,1.5,0.13063734
0,89,80.9538,17.6115,outer,7994.789999999999,1.5,0.13063734
0,90,79.8783,17.2284,outer,7994.789999999999,1.5,0.13063734
0,91,78.7695,16.832099999999997,outer,7994.789999999999,1.5,0.13063734
0,92,77.6277,16.422900000000002,outer,7994.789999999999,1.5,0.13063734
0,93,76.45230000000001,16.0005,outer,7994.789999999999,1.5,0.13063734
