street_id,street_name,part_index,member_lanes,n_lanes,n_vertices,area_m2,centroid_x,centroid_y
1,roadway_exterior,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",49,647,15448.253478959043,106.43765522628077,129.92572076322767
1,roadway_hole_0,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",49,273,,106.81635741774895,120.71811458838754
