n_points,n_vertices,origin_x,origin_y,tangent_x,tangent_y,normal_x,normal_y,s_min,s_max,lateral_width_median,run_id,lane_kf
29952,7,42.30438882417617,38.52584932799508,0.9925096793412266,0.12216601988268157,-0.12216601988268157,0.9925096793412266,-7.613347413893292,16.386652586106706,16.601812943472492,1,1
12033,6,183.85375229623205,38.54356080322983,-0.12444569931852538,-0.9922264196851056,0.9922264196851056,-0.12444569931852538,-10.15114872377168,9.84885127622832,17.10200309151918,1,2
37166,6,39.221888745846265,198.93075279643367,-0.999963083549952,-0.0085925279907478,0.0085925279907478,-0.999963083549952,-10.816696728495852,9.183303271504148,16.08093809897188,1,3
9391,4,183.7093564397125,197.7849596902843,-0.9975315610071602,-0.07021954709778573,0.07021954709778573,-0.9975315610071602,-5.477718046634763,6.522281953365237,17.302096243477518,1,4
6243,5,43.305506079320025,15.125440209402607,-0.0013010117356825242,-0.9999991536838737,0.9999991536838737,-0.0013010117356825242,-6.910298392501794,9.089701607498206,4.535383354567511,1,5
57795,33,42.867132364815426,99.08140057278479,0.004313207097083332,-0.999990698079006,0.999990698079006,0.004313207097083332,-81.78544013640116,46.214559863598836,4.636651730361945,1,6
21619,4,41.331007417522436,220.0548490413932,0.025528426041221432,-0.9996740966254243,0.9996740966254243,0.025528426041221432,-4.04883525887535,7.95116474112465,4.163858100125632,1,7
2720,5,46.82341703365571,15.309232478060736,-0.02516935804828356,-0.9996832015270825,0.9996832015270825,-0.02516935804828356,-6.736343480414719,9.26365651958528,4.536655582423669,1,8
45207,30,46.12936269531498,79.19059490385821,0.010646710341893958,-0.9999433221732599,0.9999433221732599,0.010646710341893958,-90.73945064136491,25.26054935863509,2.7588435445864876,1,9
13136,3,45.297994803244364,218.89539516400967,0.13347046473726704,-0.9910527912491939,0.9910527912491939,0.13347046473726704,-2.101858659817813,5.898141340182187,3.280099154389772,1,10
2407,5,50.25043006591801,11.507951790423792,-0.01339293580130994,-0.9999103106132179,0.9999103106132179,-0.01339293580130994,-10.3415695493819,5.6584304506181,4.276070904640163,1,11
54761,5,39.20359862792358,13.51582030574507,-0.027144148055821448,0.9996315297279912,-0.9996315297279912,-0.027144148055821448,-6.424305216061784,9.575694783938216,3.7644226774269915,1,14
120485,33,38.53309906552019,122.12611856930576,-0.00556210633201936,0.9999845313669363,-0.9999845313669363,-0.00556210633201936,-66.8868446498434,61.1131553501566,3.391702714693328,1,15
14487,4,37.94199531603801,218.8265244463156,0.0007079985467252528,0.9999997493689976,-0.9999997493689976,0.0007079985467252528,-4.007350932068198,7.992649067931801,5.0048680248733115,1,16
27997,4,35.80522624142115,15.576591444990948,-0.13597493666087535,0.9907122774045303,-0.9907122774045303,-0.13597493666087535,-5.319720833329116,6.680279166670884,3.8024068489082485,1,17
88985,33,34.9802831083501,125.93310880533235,-0.008606301907938556,0.9999629650979428,-0.9999629650979428,-0.008606301907938556,-70.60175537662306,57.39824462337694,4.271585788326805,1,18
15512,4,34.18455665967196,219.9668512712877,-0.02400144254989508,0.9997119238838377,-0.9997119238838377,-0.02400144254989508,-5.126923768184365,6.873076231815634,4.962807853486541,1,19
1270,13,32.168902723439295,114.38480806617888,-0.008307796806689582,0.9999654896606277,-0.9999654896606277,-0.008307796806689582,-30.438660217897166,69.56133978210283,2.691202593297828,1,21
726,4,32.4968351465258,219.35316273609314,-0.02611373891290218,0.9996589781720508,-0.9996589781720508,-0.02611373891290218,-4.56930737152625,7.43069262847375,3.5358735809805593,1,22
9535,21,180.6330983315098,90.15025602804586,0.000793127895235181,-0.9999996854740215,0.9999996854740215,0.000793127895235181,-90.63453360906922,29.365466390930777,4.115282267393304,1,23
1691,3,180.95307983919645,215.96692397154806,0.029537132959693894,-0.9995636837023049,0.9995636837023049,0.029537132959693894,-1.9100819422340325,6.089918057765967,3.901870652319121,1,24
44291,17,184.35174886371345,75.56725878739628,0.009106464155385631,-0.9999585352956325,0.9999585352956325,0.009106464155385631,-104.23822734986186,19.76177265013814,3.998198145097774,1,25
1629,6,188.00823322593632,68.42042690228844,-0.005524215090936128,-0.9999847414074023,0.9999847414074023,-0.005524215090936128,-106.60569754091573,13.394302459084273,2.2737792085201907,1,27
108301,26,92.15829531908973,35.63694956691428,-0.9999322074747726,-0.011643902036188123,0.011643902036188123,-0.9999322074747726,-72.73730661798342,27.26269338201658,4.168445461405008,1,29
88398,26,142.61874881913658,40.680463351596295,0.9999982500438096,-0.0018708044575649254,0.0018708044575649254,0.9999982500438096,-75.07409360722413,24.92590639277587,4.9411372904935735,1,30
5677,6,11.422666424838697,196.41650847011854,-0.9998845830073867,-0.015192783291562702,0.015192783291562702,-0.9998845830073867,-8.74120651919755,11.25879348080245,5.576705699617607,1,31
