street_id,street_name,part_index,vertex_index,x,y
1,roadway_exterior,0,0,0.01890196682666119,204.20171919619506
1,roadway_exterior,0,1,0.02475174135915358,204.20200657718968
1,roadway_exterior,0,2,21.994430069256307,204.20200657718968
1,roadway_exterior,0,3,22.018934354338697,204.20321039552164
1,roadway_exterior,0,4,22.04320264976034,204.20681025708888
1,roadway_exterior,0,5,22.067001238569922,204.21277149325664
1,roadway_exterior,0,6,22.090100927347578,204.22103669406187
1,roadway_exterior,0,7,22.112279253462805,204.2315262611026
1,roadway_exterior,0,8,22.13332262751121,204.24413917411405
1,roadway_exterior,0,9,22.15302839029722,204.258753963849
1,roadway_exterior,0,10,22.171206764552945,204.27522988189304
1,roadway_exterior,0,11,22.187682682596993,204.29340825614878
1,roadway_exterior,0,12,22.202297472331942,204.31311401893478
1,roadway_exterior,0,13,22.214910385343394,204.33415739298317
1,roadway_exterior,0,14,22.22539995238413,204.3563357190984
1,roadway_exterior,0,15,22.23366515318936,204.37943540787606
1,roadway_exterior,0,16,22.239626389357113,204.40323399668566
1,roadway_exterior,0,17,22.243226250924355,204.42750229210728
1,roadway_exterior,0,18,22.244430069256307,204.45200657718968
1,roadway_exterior,0,19,22.244430069256307,205.21967164242318
1,roadway_exterior,0,20,22.244717450250956,205.22552141695581
1,roadway_exterior,0,21,22.250567224783445,205.22580879795044
1,roadway_exterior,0,22,28.42112654297391,205.22580879795044
1,roadway_exterior,0,23,28.44495225144495,205.2269467164357
1,roadway_exterior,0,24,28.468561066203247,205.2303501130236
1,roadway_exterior,0,25,28.491738067994966,205.2359880054111
1,roadway_exterior,0,26,28.51427226850994,205.2438090699024
1,roadway_exterior,0,27,28.535958531081636,205.25374210862665
1,roadway_exterior,0,28,28.556599438117605,205.26569669767684
1,roadway_exterior,0,29,28.576007088260493,205.27956401027004
1,roadway_exterior,0,30,28.594004806919486,205.2952178074355
1,roadway_exterior,0,31,28.610428754600537,205.312515587212
1,roadway_exterior,0,32,28.62512941839432,205.33129988189262
1,roadway_exterior,0,33,28.637972973044217,205.35139969150816
