objective,nll,closed_loop_loss,tracking_rank,seed,restart,near_optimal,S_theta,S_v,xi_i,S_d,gamma,w_x,w_y,w_c,w_ell,beta,sigma_long,sigma_lat
2.381699755158386,4.756317235264513,1.4345124760763792,29.708,7,0,True,3.5274665519569672,0.31967847101319097,1.4504260526098358,0.6241733597781577,3.3067241803083895,9.845290123716634,1.4983672992686201,51.79982968307217,11.130835326767006,5.493529299760701,4.233928305278958,0.4926770676003634
2.396229158379322,4.187836689688388,1.5131518386168326,29.2505,8,1,True,3.9884136871337743,2.5163267863719776,4.5801787948880355,1.5290313235065804,0.7975304781794939,0.5597151390750531,5.853990252265676,2.0123681912448554,2.4387827260976906,9.0524372454881,3.695703917237757,1.0110400152401995
2.4148343545960205,4.3538124103979206,1.5100324786355934,29.5735,8,1,True,2.066240264373873,8.142858592990642,3.127593440666744,4.472191519609169,5.943617055995721,0.5000093870306613,6.196379004253882,11.55580514382481,10.245055202344819,6.3536736037113855,2.6567573267119124,1.7856824838664256
2.4302058424381006,5.1286817731278225,1.4543932206808738,29.1655,8,1,True,3.096111665959403,5.3268146181341205,4.005933725906769,3.7485806897139877,3.9856984273261307,8.93430034235389,1.2181184363262956,69.80124674327936,15.148449088803801,8.989955395991549,2.9935443054500213,1.0785760114298906
2.4311527529113715,4.393641243202042,1.5260267238292624,29.343,9,2,True,6.257895911281705,6.644977899811168,2.1437726588036137,8.827183810326042,0.9779392374437291,3.391777748159643,4.146208593670092,8.11565982910728,4.413747262103831,3.80428021080683,3.0366281380438744,1.7834090822025175
2.4348798244647853,4.769742231779627,1.4941198870011083,29.2185,9,2,True,1.9271183207173825,0.9974250835331415,4.7529570783831305,10.923385692364834,2.017929254246964,0.8150244594836998,1.0002672637487389,72.08510851673962,2.895923826527006,1.393314759861327,2.277030442390271,0.5705708983053905
2.439306582459298,5.450039436011061,1.4308026388581916,29.2005,9,2,True,4.320848701518777,3.3855057708576872,4.029111096106993,11.865150227047728,8.286084246349048,5.620770923673104,9.69508213800324,77.19946573555701,22.076025789663394,7.409318565289118,3.3401842934757364,2.0078032867925755
2.4403697987085398,4.498050080127739,1.5251997113306865,29.318,8,1,True,8.381630744166115,4.848319112897604,3.6579678726723794,5.6480806134428905,3.919671852738895,8.172595666882925,1.611135062276518,0.5003686127589874,2.2655246291716007,1.7360973037927723,2.5142882242434768,0.37928522881825266
2.445344459969116,4.536169672453793,1.5253147943110383,29.384,8,1,True,2.495599837547137,5.639777200081885,3.5910746045868533,0.7703997377707089,2.4217243339045744,2.3570542594821986,1.0467810554557464,44.28348377640384,7.694990090584716,1.265745060231886,3.326461996262019,1.028336566114399
2.4503350566529423,4.661408756864634,1.5179164031887011,29.3755,8,1,True,7.281372217872503,5.973176515953943,1.6250712102485243,5.282349063796103,6.47936851790927,8.133309092352237,2.5457283637204413,22.233639579964933,8.327903645323177,7.106252028220122,3.7228353063636157,0.8669643744914313
