objective,nll,closed_loop_loss,tracking_rank,seed,restart,near_optimal,S_theta,S_v,xi_i,S_d,gamma,w_x,w_y,w_c,w_ell,beta,sigma_long,sigma_lat
2.1734774435382564,4.239318527784584,1.3101328923470996,27.683,8,1,True,3.9884136871337743,2.5163267863719776,4.5801787948880355,1.5290313235065804,0.7975304781794939,0.5597151390750531,5.853990252265676,1.6118785334095713,2.4387827260976906,9.0524372454881,4.473696073363333,1.252090452673278
2.2454922038678906,5.1791723740982,1.2809321093152135,28.1385,7,0,True,4.126470498240887,2.7235789264959447,4.715443294665738,11.318306128956996,0.5631913055064932,4.852674745711861,2.4537915457856645,5.70529313954925,24.11660796107101,3.3676684182345245,0.6843692582179668,0.6392912573187262
2.2695447691551296,5.135869346766219,1.3120133900340631,27.9685,7,0,True,5.111740700657028,1.7435608796442832,3.323352430953491,8.776259086584435,6.0738185668490585,0.554206102097484,0.4636231612927524,3.2620080196451893,25.31561873170246,4.076801492063156,4.034104599977792,1.483817969326144
2.2923868833150056,4.7594631704567325,1.3653453281740944,28.419,9,2,False,6.257895911281705,6.644977899811168,2.1437726588036137,8.827183810326042,0.9779392374437291,3.391777748159643,4.146208593670092,6.494463015413276,4.413747262103831,3.80428021080683,3.7024371828173,2.158784574759477
2.304124452545199,4.598004549354939,1.4119906642763718,27.237,8,1,False,8.381630744166115,4.848319112897604,3.6579678726723794,5.6480806134428905,3.919671852738895,8.172595666882925,1.611135062276518,0.40229096710136364,2.2655246291716007,1.7360973037927723,3.091188347518962,0.5104652686127313
2.3373598752135685,6.080655178219991,1.2835483256455373,28.082,9,2,False,8.88870757445764,4.281896161885616,1.4059846355204766,5.0919222193316545,5.50511479357486,7.793481211314909,5.989839668244451,4.215795730935969,36.595052637755735,8.458489393167959,2.4349087492684807,1.655183725307748
2.3443989501600107,5.046766042886532,1.3744604411094528,29.3115,8,1,False,0.4050440321431823,5.147175297600181,2.465627288015767,1.1816473443705113,3.3740129191460686,7.880040914686012,9.857994897438992,10.670834313776407,20.684356101068456,0.539675851761736,2.4557888585707017,1.3182773322643677
2.3467855704830756,5.812504745242949,1.3254874769111615,27.723,7,0,False,9.24718376391689,5.969376495098261,2.4604079196212814,4.293664024871406,6.37104905496476,8.655487223169729,3.4742305184596685,0.5680731493891065,41.327507154293066,1.915073909631408,5.1815332750284515,1.9863786100139564
2.35423355081443,4.978411154253458,1.3977495782462268,28.8945,8,1,False,2.066240264373873,8.142858592990642,3.127593440666744,4.472191519609169,5.943617055995721,0.5000093870306613,6.196379004253882,9.246551744923892,10.245055202344819,6.3536736037113855,3.2579075099820254,2.1614533506258042
2.3622509531285325,6.606109297753917,1.2489733566864742,28.518,9,2,False,3.154056635536402,5.229624472997952,3.756212115525373,8.31527879909041,3.287950501646917,6.753851019959221,5.359953696753367,11.766248314024104,41.596732876544294,8.794252980161978,4.571678362056527,0.6329975173889248
